,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,CARM,Unkn,HC1,27.1450552635822,NaN
,A02,FAM,CARM,Unkn,NC1,26.1250825087765,NaN
,A03,FAM,CARM,Unkn,SC1,25.8076017970471,NaN
,A04,FAM,CARM,Unkn,HT1,27.0416848992303,NaN
,A05,FAM,CARM,Unkn,NT1,26.1114588871027,NaN
,A06,FAM,CARM,Unkn,ST1,24.3662264267578,NaN
,A07,FAM,CARM,NTC,NTC,34.6985998854487,NaN
,B01,FAM,CARM,Unkn,HC2,27.4323651619768,NaN
,B02,FAM,CARM,Unkn,NC2,25.5546546513878,NaN
,B03,FAM,CARM,Unkn,SC2,24.6312958607123,NaN
,B04,FAM,CARM,Unkn,HT2,25.694444671156,NaN
,B05,FAM,CARM,Unkn,NT2,26.2963985524082,NaN
,B06,FAM,CARM,Unkn,ST2,23.3210157019246,NaN
,B07,FAM,CARM,NTC,NTC,33.530424038472,NaN
,C01,FAM,CARM,Unkn,HC3,28.4521364545794,NaN
,C02,FAM,CARM,Unkn,NC3,26.4516442227895,NaN
,C03,FAM,CARM,Unkn,SC3,26.4106266005173,NaN
,C04,FAM,CARM,Unkn,HT3,25.4626142526157,NaN
,C05,FAM,CARM,Unkn,NT3,23.6305993181599,NaN
,C06,FAM,CARM,Unkn,ST3,25.4828854154125,NaN
,C07,FAM,CARM,NTC,NTC,35.5739980575254,NaN
,D01,FAM,CARM,Unkn,HC4,26.8582899767484,NaN
,D02,FAM,CARM,Unkn,NC4,25.7648146915882,NaN
,D03,FAM,CARM,Unkn,SC4,25.3069971073544,NaN
,D04,FAM,CARM,Unkn,HT4,24.8081948044688,NaN
,D05,FAM,CARM,Unkn,NT4,28.0314373737443,NaN
,D06,FAM,CARM,Unkn,ST4,25.3648882349237,NaN
,D07,FAM,CARM,NTC,NTC,34.5480296319071,NaN
,E01,FAM,CARM,Unkn,HC5,27.0908561364665,NaN
,E02,FAM,CARM,Unkn,NC5,25.8097957247966,NaN
,E03,FAM,CARM,Unkn,SC5,25.6641999610519,NaN
,E04,FAM,CARM,Unkn,HT5,23.9255886320221,NaN
,E05,FAM,CARM,Unkn,NT5,26.5981150293887,NaN
,E06,FAM,CARM,Unkn,ST5,27.6125354177435,NaN
,F01,FAM,CARM,Unkn,HC6,34.2645125789894,NaN
,F02,FAM,CARM,Unkn,NC6,24.4389428330023,NaN
,F03,FAM,CARM,Unkn,SC6,25.6980848383159,NaN
,F04,FAM,CARM,Unkn,HT6,25.643362944269,NaN
,F05,FAM,CARM,Unkn,NT6,25.6123480894842,NaN
,F06,FAM,CARM,Unkn,ST6,26.6204202892381,NaN
,G01,FAM,CARM,Unkn,HC7,27.0147084623311,NaN
,G02,FAM,CARM,Unkn,NC7,25.1870772785706,NaN
,G03,FAM,CARM,Unkn,SC7,25.2380299140496,NaN
,G04,FAM,CARM,Unkn,HT7,24.6954228220297,NaN
,G05,FAM,CARM,Unkn,NT7,25.1542110456463,NaN
,G06,FAM,CARM,Unkn,ST7,24.6135858165796,NaN
,H01,FAM,CARM,Unkn,HC8,26.0863665040867,NaN
,H02,FAM,CARM,Unkn,NC8,26.1295128486813,NaN
,H03,FAM,CARM,Unkn,SC8,25.419299591968,NaN
,H04,FAM,CARM,Unkn,HT8,25.0229384486423,NaN
,H05,FAM,CARM,Unkn,NT8,26.0663176518405,NaN
,H06,FAM,CARM,Unkn,ST8,24.7298018932717,NaN
