CARM.rep5.8182015,CARM.rep5.8182015,CARM.rep5.8182015,CARM.rep6.8182015,CARM.rep6.8182015
Well / Set,Efficiency,C(t),Efficiency,C(t)
H_C_1,,,,
H_C_2,,,,
H_C_3,,,,
H_C_4,,,,
H_C_5,,,,
H_C_6,,,,
H_C_7,,,,
H_C_8,,,,
N_C_1,,,,
N_C_2,,,,
N_C_3,,,,
N_C_4,,,,
N_C_5,,,,
N_C_6,,,,
N_C_7,,,,
N_C_8,,,,
S_C_1,1.88,26.38,,
S_C_2,2.13,26.16,,
S_C_3,1.87,24.85,,
S_C_4,1.9,24.84,,
S_C_5,2.22,25.25,,
S_C_6,1.85,25.32,,
S_C_7,1.94,26.01,,
S_C_8,2.04,26.67,,
H_T_1,,,,
H_T_2,,,,
H_T_3,,,,
H_T_4,,,,
H_T_5,,,,
H_T_6,,,,
H_T_7,,,,
H_T_8,,,,
N_T_1,,,,
N_T_2,,,,
N_T_3,,,,
N_T_4,,,,
N_T_5,,,,
N_T_6,,,,
N_T_7,,,,
N_T_8,,,,
S_T_1,1.95,28.42,,
S_T_2,1.95,26.85,,
S_T_3,1.87,28.14,,
S_T_4,2.04,27.19,,
S_T_5,1.89,26.89,,
S_T_6,2.05,26,,
S_T_7,2.23,24.94,,
S_T_8,1.94,26.75,,
H_M_1,2.01,25.25,2.15,24.28
H_M_2,2.04,24.09,2.1,23.32
H_M_3,2,24.84,2.12,24.43
H_M_4,2.13,24.61,2.3,24.43
H_M_5,2.06,24.3,2.2,24
H_M_6,2,24.5,2.01,23.74
H_M_7,2.11,24.63,2.08,23.83
H_M_8,1.89,25.5,1.96,25.01
N_M_1,1.89,26.4,1.98,26.12
N_M_2,2.11,25.26,2.01,25.26
N_M_3,2.19,24.55,2.1,24.45
N_M_4,2.18,24.77,2.19,24.54
N_M_5,2.02,25.95,2.11,25.51
N_M_6,2.23,24.69,2.14,24.43
N_M_7,2.12,24.64,2.08,24.37
N_M_8,1.96,25.06,2.37,24.8
S_M_1,2.07,24.18,1.94,24.45
S_M_2,2.03,24.01,2.05,24.22
S_M_3,2.14,24.32,1.91,24.94
S_M_4,2.14,24.46,2.08,24.79
S_M_5,2.02,25.32,1.91,25.49
S_M_6,2.3,24.61,2.04,25.12
S_M_7,2.01,24.08,2.2,24.79
S_M_8,1.97,24.97,2.05,25.25
