28s.rep2.8262015b,28s.rep2.8262015b
Well,Cq
H_C_1,32.7932002
H_C_2,32.03770108
H_C_3,33.79120386
H_C_4,33.37131353
H_C_5,33.56436808
H_C_6,38.74810748
H_C_7,32.31199987
H_C_8,33.15197112
N_C_1,33.47179354
N_C_2,29.9671103
N_C_3,32.27323018
N_C_4,32.03866433
N_C_5,31.4700001
N_C_6,32.3229997
N_C_7,30.38870624
N_C_8,32.4744636
S_C_1,33.44949652
S_C_2,32.8535964
S_C_3,32.91598155
S_C_4,32.39401959
S_C_5,32.40767617
S_C_6,32.52632915
S_C_7,32.67857304
S_C_8,31.33723506
H_T_1,34.34749686
H_T_2,33.44783845
H_T_3,32.5505715
H_T_4,34.04071403
H_T_5,33.62301155
H_T_6,32.01095868
H_T_7,34.11040359
H_T_8,32.51659419
N_T_1,35.14484863
N_T_2,35.24092196
N_T_3,32.27435133
N_T_4,34.24987914
N_T_5,34.73817932
N_T_6,33.29199246
N_T_7,35.02538854
N_T_8,35.17870302
S_T_1,34.62704062
S_T_2,34.41409275
S_T_3,35.73036793
S_T_4,35.00664429
S_T_5,34.26108284
S_T_6,33.68506502
S_T_7,33.52079324
S_T_8,34.02751946
H_M_1,30.6579011
H_M_2,30.06699823
H_M_3,32.0183728
H_M_4,32.59434456
H_M_5,32.03382769
H_M_6,32.05598425
H_M_7,31.32921191
H_M_8,32.63815129
N_M_1,34.07829511
N_M_2,33.73271525
N_M_3,32.43076495
N_M_4,33.33082691
N_M_5,34.62306396
N_M_6,33.21482268
N_M_7,32.48643834
N_M_8,32.10617417
S_M_1,30.97970468
S_M_2,30.93361683
S_M_3,31.71052835
S_M_4,32.3285244
S_M_5,33.1993656
S_M_6,32.34472747
S_M_7,31.73945353
S_M_8,32.51735453
